kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,ODS,ČSSD,KSČM,ANO 2011,SPD,Piráti,COS,Rado. Č.,STAN,Zelený,ROZUMNÍ,SSO,BPI,ODA,EU referendum,TOP 09,DB 2016,SPR,Křesťaní,ČSNS,REALIST,SPORT,DSSS,SPO
544795,Litvínovice,1906,1404,1399,315,"0,00",68,"1,35","0,14",68,0,2,"0,14","4,86",2,"0,14",68,"4,86","4,86",19,6,"0,42",22,"1,57",2,"0,14",2,157
544809,Ločenice,562,346,345,59,"0,00",30,"1,73","1,15",32,0,2,"0,57","8,69",0,"0,00",15,"4,34","9,27",6,3,"0,86",1,"0,28",0,"0,00",4,32
535940,Mazelov,169,106,106,3,"0,00",7,"0,00","0,00",19,0,0,"0,00","6,60",0,"0,00",4,"3,77","17,92",0,4,"3,77",0,"0,00",0,"0,00",0,3
544817,Mladošovice,328,217,216,15,"0,00",16,"0,00","0,00",26,0,0,"0,00","7,40",0,"0,00",10,"4,62","12,03",0,5,"2,31",8,"3,70",0,"0,00",0,22
598615,Modrá Hůrka,70,40,39,2,"0,00",0,"0,00","0,00",4,0,0,"0,00","0,00",0,"0,00",1,"2,56","10,25",0,0,"0,00",2,"5,12",0,"0,00",0,5
535842,Mokrý Lom,83,68,67,9,"0,00",3,"2,98","2,98",7,0,0,"0,00","4,47",0,"0,00",4,"5,97","10,44",2,0,"0,00",1,"1,49",0,"0,00",2,8
535281,Mydlovary,249,157,156,12,"0,00",8,"5,76","0,00",10,0,0,"0,00","5,12",0,"0,00",10,"6,41","6,41",9,4,"2,56",0,"0,00",1,"0,64",0,15
535371,Nákří,174,112,112,11,"0,00",14,"0,89","0,89",14,0,0,"0,00","12,50",1,"0,89",2,"1,78","12,50",1,4,"3,57",2,"1,78",0,"0,00",1,12
544825,Nedabyle,290,219,219,26,"0,00",7,"2,28","0,00",21,0,0,"0,00","3,19",0,"0,00",14,"6,39","9,58",5,2,"0,91",5,"2,28",0,"0,00",0,32
535435,Neplachov,292,194,194,27,"0,00",20,"0,51","0,00",12,0,1,"0,51","10,30",1,"0,51",11,"5,67","6,18",1,1,"0,51",3,"1,54",0,"0,00",0,9
535648,Nová Ves,566,436,435,54,"0,22",41,"1,60","0,45",32,1,0,"0,00","9,42",4,"0,91",31,"7,12","7,35",7,2,"0,45",6,"1,37",0,"0,00",2,23
544868,Nové Hrady,2045,1224,1214,117,"0,32",113,"0,57","0,24",179,4,0,"0,00","9,30",0,"0,00",32,"2,63","14,74",7,14,"1,15",16,"1,31",2,"0,16",3,103
544884,Olešnice,639,396,392,52,"0,25",28,"0,00","0,00",54,1,0,"0,00","7,14",0,"0,00",20,"5,10","13,77",0,3,"0,76",7,"1,78",0,"0,00",0,35
544892,Olešník,642,395,395,60,"0,00",34,"1,51","0,50",33,0,0,"0,00","8,60",2,"0,50",23,"5,82","8,35",6,4,"1,01",7,"1,77",0,"0,00",2,38
535231,Ostrolovský Újezd,134,104,103,18,"0,00",7,"0,97","0,00",9,0,0,"0,00","6,79",0,"0,00",7,"6,79","8,73",1,0,"0,00",1,"0,97",0,"0,00",0,9
535699,Petříkov,254,175,175,30,"1,14",8,"1,14","0,00",18,2,1,"0,57","4,57",0,"0,00",8,"4,57","10,28",2,0,"0,00",4,"2,28",0,"0,00",0,24
535991,Pištín,525,359,354,27,"0,00",17,"1,97","0,00",26,0,0,"0,00","4,80",0,"0,00",42,"11,86","7,34",7,4,"1,12",19,"5,36",0,"0,00",0,38
535176,Planá,194,134,133,21,"0,00",9,"2,25","0,75",15,0,0,"0,00","6,76",0,"0,00",9,"6,76","11,27",3,2,"1,50",3,"2,25",0,"0,00",1,13
535346,Plav,330,265,263,33,"0,00",12,"2,66","0,00",18,0,0,"0,00","4,56",1,"0,38",11,"4,18","6,84",7,2,"0,76",7,"2,66",2,"0,76",0,42
544965,Radošovice,145,88,88,8,"0,00",8,"2,27","0,00",6,0,0,"0,00","9,09",0,"0,00",8,"9,09","6,81",2,1,"1,13",0,"0,00",0,"0,00",0,9
544973,Roudné,922,671,667,123,"0,00",46,"0,89","0,44",25,0,0,"0,00","6,89",1,"0,14",42,"6,29","3,74",6,2,"0,29",21,"3,14",1,"0,14",3,60
544981,Rudolfov,2049,1399,1395,228,"0,14",78,"1,29","0,14",86,2,0,"0,00","5,59",0,"0,00",73,"5,23","6,16",18,9,"0,64",35,"2,50",2,"0,14",2,128
545007,Římov,694,471,469,102,"0,21",31,"2,13","0,63",44,1,1,"0,21","6,60",0,"0,00",23,"4,90","9,38",10,5,"1,06",8,"1,70",0,"0,00",3,57
545015,Sedlec,399,281,278,26,"0,35",24,"1,43","0,00",21,1,1,"0,35","8,63",0,"0,00",26,"9,35","7,55",4,2,"0,71",5,"1,79",0,"0,00",0,34
545023,Slavče,537,303,301,24,"0,00",11,"1,32","0,00",55,0,0,"0,00","3,65",1,"0,33",11,"3,65","18,27",4,8,"2,65",4,"1,32",0,"0,00",0,24
545066,Srubec,1877,1346,1345,234,"0,14",69,"1,11","0,07",56,2,0,"0,00","5,13",2,"0,14",112,"8,32","4,16",15,4,"0,29",24,"1,78",0,"0,00",1,148
545074,Staré Hodějovice,955,670,667,107,"0,14",31,"0,89","0,29",47,1,0,"0,00","4,64",0,"0,00",53,"7,94","7,04",6,1,"0,14",17,"2,54",0,"0,00",2,65
545082,Strážkovice,395,271,270,45,"0,37",13,"1,11","0,00",24,1,0,"0,00","4,81",0,"0,00",9,"3,33","8,88",3,3,"1,11",6,"2,22",0,"0,00",0,30
536032,Strýčice,52,38,38,2,"0,00",2,"0,00","0,00",2,0,0,"0,00","5,26",1,"2,63",3,"7,89","5,26",0,2,"5,26",0,"0,00",0,"0,00",0,2
545091,Střížov,180,117,116,24,"0,00",6,"3,44","0,00",4,0,0,"0,00","5,17",0,"0,00",9,"7,75","3,44",4,0,"0,00",4,"3,44",0,"0,00",0,10
545104,Svatý Jan nad Malší,439,288,286,41,"0,00",11,"1,04","0,69",24,0,0,"0,00","3,84",2,"0,69",7,"2,44","8,39",3,3,"1,04",4,"1,39",0,"0,00",2,29
545121,Ševětín,1099,718,714,80,"0,28",41,"1,96","0,70",66,2,1,"0,14","5,74",0,"0,00",43,"6,02","9,24",14,7,"0,98",4,"0,56",0,"0,00",5,66
545139,Štěpánovice,685,436,435,43,"0,22",21,"0,91","0,22",32,1,0,"0,00","4,82",0,"0,00",45,"10,34","7,35",4,0,"0,00",3,"0,68",1,"0,22",1,36
545155,Temelín,703,424,422,34,"0,00",41,"1,42","0,47",51,0,0,"0,00","9,71",2,"0,47",22,"5,21","12,08",6,3,"0,71",7,"1,65",0,"0,00",2,40
545171,Trhové Sviny,4082,2501,2474,224,"0,20",140,"1,09","0,08",279,5,0,"0,00","5,65",5,"0,20",79,"3,19","11,27",27,19,"0,76",46,"1,85",4,"0,16",2,253
545201,Týn nad Vltavou,6491,3892,3861,419,"0,10",266,"1,39","0,15",356,4,0,"0,00","6,88",6,"0,15",101,"2,61","9,22",54,36,"0,93",131,"3,39",1,"0,02",6,541
